,name,level,hot,address,num,price
0,故宫,5A景区,1.0,[北京·北京·东城区],13415,¥20 起
1,圆明园,4A景区,0.76,[北京·北京·海淀区],6025,¥36 起
2,天安门广场,,1.0,[北京·北京·东城区],2684,¥20 起
3,八达岭长城缆车,,,[北京·北京·八达岭长城],2436,¥160 起
4,八达岭长城,5A景区,0.82,[北京·北京·延庆县],2250,¥160 起
5,颐和园,5A景区,0.82,[北京·北京·海淀区],1368,¥41 起
6,恭王府,5A景区,0.74,[北京·北京·西城区],1234,¥60 起
7,水立方,,,[北京·北京·奥林匹克公园],3050,¥14 起
8,慕田峪长城,5A景区,0.7,[北京·北京·怀柔区],1306,¥20 起
9,故宫礼物,,,[北京·北京·故宫],1070,¥9 起
10,北京杜莎夫人蜡像馆,,,[北京·北京·前门大街],1006,¥85 起
11,恭王府大戏楼,,,[北京·北京·西城区],458,¥26 起
12,天坛公园,5A景区,0.8,[北京·北京·东城区],392,¥3.9 起
13,前门老北京影戏馆,,,[北京·北京·东城区],546,¥86 起
14,定陵,,0.72,[北京·北京·明十三陵],720,¥51 起
15,塘沽外滩游船,,,[天津·天津·滨海新区],206,¥90 起
16,静园-末代皇帝溥仪旧居,3A景区,,[天津·天津·和平区],170,¥17.3 起
17,五大道之马场道,,,[天津·天津·五大道],90,¥115 起
18,张学良故居,,0.72,[天津·天津·和平区],102,¥39 起
19,古文化街码头,,,[天津·天津·南开区],44,¥64 起
20,天津海昌极地海洋公园,4A景区,,[天津·天津·滨海新区],1100,¥8.8 起
21,天津欢乐谷,4A景区,,[天津·天津·东丽区],606,¥97 起
22,天津泰达航母主题公园,4A景区,0.7,[天津·天津·滨海新区],102,¥15 起
23,天津元升相声茶馆,,,[天津·天津·南开区],40,¥48 起
24,海河桥,,,[天津·天津·河北区],190,¥64 起
25,意式风情街,,,[天津·天津·河北区],16,¥64 起
26,大沽口炮台遗址,,0.74,[天津·天津·滨海新区],146,¥21.9 起
27,天塔湖,4A景区,0.7,[天津·天津·河西区],40,¥44.9 起
28,天津方特欢乐世界,,,[天津·天津·滨海新区],502,¥98 起
29,天津之眼摩天轮,4A景区,,[天津·天津·河北区],8,¥1.5 起
30,黄浦江游船,,,[上海·上海·东方明珠],1268,¥90 起
31,东方明珠,5A景区,0.76,[上海·上海·浦东新区],2043,¥195 起
32,上海杜莎夫人蜡像馆,4A景区,0.74,[上海·上海·黄浦区],1246,¥130 起
33,东方明珠豪华浦江游船东方明珠码头,,,[上海·上海·浦东新区],538,¥88 起
34,上海科技馆,5A景区,0.74,[上海·上海·浦东新区],826,¥50 起
35,豫园,4A景区,0.8400000000000001,[上海·上海·黄浦区],286,¥40 起
36,上海迪士尼乐园,,,[上海·上海·浦东新区],5149,¥138 起
37,上海野生动物园,5A景区,0.72,[上海·上海·浦东新区],3200,¥65 起
38,金茂大厦88层观光厅,4A景区,0.76,[上海·上海·浦东新区],300,¥48.5 起
39,上海中心大厦,,,[上海·上海·浦东新区],404,¥150 起
40,外滩观光隧道,,0.7,[上海·上海·黄浦区],264,¥35 起
41,环球金融中心观光厅,4A景区,0.72,[上海·上海·浦东新区],330,¥68.5 起
42,黄浦江游览,,,[上海·上海·黄浦区],374,¥89 起
